"faa","name","lat","lon","alt","tz","dst","city","country"
TLM,Zenata – Messali El Hadj Airport,35.0167007446,-1.45000004768,814,1.0,N,Tlemcen,Algeria
ORN,Es Senia Airport,35.6239013672,-0.6211829781529999,295,1.0,N,Oran,Algeria
BFW,Sidi Bel Abbes Airport,35.1717987061,-0.593275010586,1614,1.0,N,Sidi Bel Abbes,Algeria
MUW,Ghriss Airport,35.207698822021484,0.1471419930458068,1686,1.0,N,Ghriss,Algeria
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,27.83760070800781,-0.1864140033721923,919,1.0,N,Adrar,Algeria
BSK,Biskra Airport,34.7933006287,5.73823022842,289,1.0,N,Biskra,Algeria
ELG,El Golea Airport,30.5713005065918,2.8595900535583496,1306,1.0,N,El Golea,Algeria
GHA,Noumérat - Moufdi Zakaria Airport,32.38410186767578,3.794110059738159,1512,1.0,N,Ghardaia,Algeria
HME,Oued Irara Airport,31.6730003357,6.140439987180001,463,1.0,N,Hassi Messaoud,Algeria
INZ,In Salah Airport,27.2509994507,2.51202011108,896,1.0,N,In Salah,Algeria
TGR,Touggourt Sidi Madhi Airport,33.06779861450195,6.088669776916504,279,1.0,N,Touggourt,Algeria
LOO,Laghouat Airport,33.7644004822,2.92833995819,2510,1.0,N,Laghouat,Algeria
TMX,Timimoun Airport,29.2371006012,0.276033014059,1027,1.0,N,Timimoun,Algeria
OGX,Ain el Beida Airport,31.917200088500977,5.412779808044434,492,1.0,N,Ouargla,Algeria
IAM,In Aménas Airport,28.0515,9.64291,1847,1.0,N,Zarzaitine,Algeria
COO,Cadjehoun Airport,6.357230186462402,2.384350061416626,19,1.0,N,Cotonou,Benin
OUA,Ouagadougou Airport,12.3532,-1.51242,1037,0.0,N,Ouagadougou,Burkina Faso
BOY,Bobo Dioulasso Airport,11.160099983215332,-4.33096981048584,1511,0.0,N,Bobo-dioulasso,Burkina Faso
ACC,Kotoka International Airport,5.605189800262451,-0.1667860001325607,205,0.0,N,Accra,Ghana
TML,Tamale Airport,9.55718994140625,-0.8632140159606934,553,0.0,N,Tamale,Ghana
NYI,Sunyani Airport,7.361830234527588,-2.3287599086761475,1014,0.0,N,Sunyani,Ghana
TKD,Takoradi Airport,4.896059989929199,-1.7747600078582764,21,0.0,N,Takoradi,Ghana
ABJ,Port Bouet Airport,5.261390209197998,-3.9262900352478014,21,0.0,N,Abidjan,Cote d'Ivoire
BYK,Bouaké Airport,7.738800048828125,-5.073669910430908,1230,0.0,N,Bouake,Cote d'Ivoire
DJO,Daloa Airport,6.792809963226318,-6.473189830780029,823,0.0,N,Daloa,Cote d'Ivoire
HGO,Korhogo Airport,9.38718032837,-5.55666017532,1214,0.0,N,Korhogo,Cote d'Ivoire
MJC,Man Airport,7.272069931030273,-7.58735990524292,1089,0.0,N,Man,Cote d'Ivoire
SPY,San Pedro Airport,4.746719837188721,-6.660820007324219,26,0.0,N,San Pedro,Cote d'Ivoire
ASK,Yamoussoukro Airport,6.9031701088,-5.36558008194,699,0.0,N,Yamoussoukro,Cote d'Ivoire
ABV,Nnamdi Azikiwe International Airport,9.006790161132812,7.263169765472412,1123,1.0,N,Abuja,Nigeria
AKR,Akure Airport,7.246739864349365,5.3010101318359375,1100,1.0,N,Akure,Nigeria
BNI,Benin Airport,6.316979885101318,5.599500179290772,258,1.0,N,Benin,Nigeria
CBQ,Margaret Ekpo International Airport,4.976019859313965,8.347200393676758,210,1.0,N,Calabar,Nigeria
ENU,Akanu Ibiam International Airport,6.474269866943359,7.561960220336914,466,1.0,N,Enugu,Nigeria
IBA,Ibadan Airport,7.362460136413574,3.97832989692688,725,1.0,N,Ibadan,Nigeria
ILR,Ilorin International Airport,8.440210342407227,4.493919849395752,1126,1.0,N,Ilorin,Nigeria
JOS,Yakubu Gowon Airport,9.639829635620115,8.869050025939941,4232,1.0,N,Jos,Nigeria
KAD,Kaduna Airport,10.696000099182127,7.320109844207764,2073,1.0,N,Kaduna,Nigeria
KAN,Mallam Aminu International Airport,12.0476,8.52462,1562,1.0,N,Kano,Nigeria
MIU,Maiduguri International Airport,11.855299949645996,13.080900192260742,1099,1.0,N,Maiduguri,Nigeria
MDI,Makurdi Airport,7.70388,8.61394,371,1.0,N,Makurdi,Nigeria
